File_Name,First_Author_Surname,Year_Publication,Title,Topic
"satheesh,+ABM_11050.pdf",Garajova,2021,Synchronous and metachronous colorectal liver metastases: impact of primary tumor location on patterns of recurrence and survival after hepatic resection,LiverMetastases
cancers-16-00941-v2.pdf,Chandra,2024,Contemporary Surgical Management of Colorectal Liver Metastases,LiverMetastases
s-0044-1787073.pdf,Abdelrahman,2024,Clinical Outcomes of the Liver-First Approach in the Management of Synchronous Colorectal Liver Metastases: A Retrospective Study,LiverMetastases
PIIS1470204509703304.pdf,Folprecht,2010,Tumour response and secondary resectability of colorectal liver metastases following neoadjuvant chemotherapy with cetuximab: the CELIM randomised phase 2 trial,LiverMetastases
20000100s00009p59.pdf,Ueno,2000,Indicators for Treatment Strategies of Colorectal Liver Metastases,LiverMetastases
2065.full.pdf,Treska,2016,Methods to Increase Future Liver Remnant Volume in Patients with Primarily Unresectable Colorectal Liver Metastases: Current State and Future Perspectives,LiverMetastases
ijms-22-11780.pdf,Czauderna,2021,Tailored Systemic Therapy for Colorectal Cancer Liver Metastases,LiverMetastases
Alvarez.pdf,Carrion-Alvarez,2025,Liver metastases from colorectal cancer: A joint ESSO –EAHPBA –UEMS core curriculum collaboration,LiverMetastases
s12885-024-12162-4.pdf,Tian,2024,Prognostic factors associated with early recurrence following liver resection for colorectal liver metastases: a systematic review and meta-analysis,LiverMetastases
fonc-12-855915.pdf,Zhou,2022,A Comprehensive Prognostic Model for Colorectal Cancer Liver Metastasis Recurrence After Neoadjuvant Chemotherapy,LiverMetastases
s10434-022-12301-w.pdf,Yoshino,2022,Clinical Usefulness of Postoperative Serum Carcinoembryonic Antigen in Patients with Colorectal Cancer with Liver Metastases,LiverMetastases
1-s2.0-S0959804924012139-main.pdf,Tougeron,2024,Resection of colorectal liver metastases with second-line aflibercept plus FOLFIRI: Results from the RESECTION prospective French cohort,LiverMetastases
hpb0014-0283-2.pdf,Rocha,2012,Resectability of colorectal liver metastases: an evolving definition,LiverMetastases
CMAR-300890-role-of-surgical-approach-to-synchronous-colorectal-liver-me.pdf,Zhai,2021,Role of Surgical Approach to Synchronous Colorectal Liver Metastases: A Retrospective Analysis,LiverMetastases
17764-PB5-2970-R3.pdf,Howard,2018,Synchronous colorectal liver metastases: a national survey of surgeon opinions on simultaneous resection and multidisciplinary cooperation,LiverMetastases
Cancer - 2010 - Albert - Chemoembolization of colorectal liver metastases with cisplatin  doxorubicin  mitomycin C .pdf,Albert,2011,"Chemoembolization of Colorectal Liver Metastases With Cisplatin, Doxorubicin, Mitomycin C, Ethiodol, and Polyvinyl Alcohol",LiverMetastases
mdw199.137.pdf,Yanaga,2016,The evaluation of liver resection for colorectal cancer liver metastasis,LiverMetastases
PIIS0140673624015952-2.pdf,Adam,2024,"Liver transplantation plus chemotherapy versus chemotherapy alone in patients with permanently unresectable colorectal liver metastases (TransMet): results from a multicentre, open-label, prospective, randomised controlled trial",LiverMetastases
s12094-023-03299-y.pdf,González‑Flores,2024,Recommendations for the management of yttrium‑90 radioembolization in the treatment of patients with colorectal cancer liver metastases: a multidisciplinary review,LiverMetastases
Journal of Oncology - 2022 - Lu - Efficacy and Safety of TACE Combined with Regorafenib versus TACE in the Third_E2_80_90Line.pdf,Lu,2022,Efficacy and Safety of TACE Combined with Regorafenib versus TACEintheThird-LineTreatmentofColorectalLiverMetastases,LiverMetastases
cancers-17-00970.pdf,Sternby,2025,The Role of Chemotherapy in Patients with Synchronous Colorectal Liver Metastases: A Nationwide Study,LiverMetastases
PIIS0039606022002239.pdf,Takeda,2022,The time-dependent changes in serum carcinoembryonic antigen impact on posthepatectomy outcomes of colorectal liver metastasis,LiverMetastases
1-s2.0-S1499387222001990-main.pdf,Gavriilidis,2023,Simultaneous portal and hepatic vein embolization is better than portal embolization or ALPPS for hypertrophy of future liver remnant before major hepatectomy: A systematic review and network meta-analysis,LiverMetastases
hbsn-09-01-83.pdf,Ardito,2020,Possibility of repeat surgery for recurrence following two-stage hepatectomy for colorectal liver metastases: impact on patient outcome,LiverMetastases
raon-57-2-raon-2023-0026.pdf,Turk,2023,Two-stage hepatectomy in resection of colorectal liver metastases − a single-institution experience with case-control matching and review of the literature,LiverMetastases
pone.0114404.pdf,Evrard,2014,Combined Ablation and Resection (CARe) as an Effective Parenchymal Sparing Treatment for Extensive Colorectal Liver Metastases,LiverMetastases
PIIS0039606021003135.pdf,Tzeng,2021,Synchronous colorectal liver metastases with asymptomatic primary tumors: An individualized sequencing approach remains ideal,LiverMetastases
1-s2.0-S1365182X2101724X-main.pdf,Larsson,2022,Simultaneous or staged resection of synchronous colorectal cancer liver metastases: a 13-year institutional follow-up,LiverMetastases
AGS3-2-167.pdf,Oki,2018,Recent advances in treatment for colorectal liver metastasis,LiverMetastases
